Size,ArrayType,Algorithm,TimeMs,Comparisons
600,Random,StringMergeSort,0.581284,6137
600,Random,StringQuickSort,0.0509174,6349
600,Random,MSD,0.266866,2526
600,Random,MSD_QS,0.0713642,2936
600,Reverse,MergeSort,0.304021,13485
600,Reverse,QuickSort,0.392581,191974
600,Reverse,StringMergeSort,0.280642,4495
600,Reverse,StringQuickSort,0.043813,12041
600,Reverse,MSD,0.134651,2918
600,Reverse,MSD_QS,0.0678604,10992
600,NearlySorted,MergeSort,0.26521,8505
600,NearlySorted,QuickSort,0.55054,129767
600,NearlySorted,StringMergeSort,0.263633,6015
600,NearlySorted,StringQuickSort,0.0365114,9365
600,NearlySorted,MSD,0.123881,2850
600,NearlySorted,MSD_QS,0.0448538,5353
600,CommonPrefix,MergeSort,0.387698,144866
600,CommonPrefix,QuickSort,0.105599,84260
600,CommonPrefix,StringMergeSort,0.45342,73482
600,CommonPrefix,StringQuickSort,0.0551134,14244
600,CommonPrefix,MSD,0.348289,19308
600,CommonPrefix,MSD_QS,0.230777,19738
700,Random,MergeSort,0.371671,14613
700,Random,QuickSort,0.0552526,8947
700,Random,StringMergeSort,0.342526,7453
700,Random,StringQuickSort,0.0386534,6751
700,Random,MSD,0.126756,2958
700,Random,MSD_QS,0.0472574,3575
700,Reverse,MergeSort,0.404206,15585
700,Reverse,QuickSort,0.556426,259261
700,Reverse,StringMergeSort,0.317223,5195
700,Reverse,StringQuickSort,0.0568142,15333
700,Reverse,MSD,0.149823,3388
700,Reverse,MSD_QS,0.0755434,13232
700,NearlySorted,MergeSort,0.306176,10658
700,NearlySorted,QuickSort,0.205566,81404
700,NearlySorted,StringMergeSort,0.355305,7372
700,NearlySorted,StringQuickSort,0.0427524,11749
700,NearlySorted,MSD,0.14198,3334
700,NearlySorted,MSD_QS,0.0510198,6212
700,CommonPrefix,MergeSort,0.652254,173346
700,CommonPrefix,QuickSort,0.10925,103288
700,CommonPrefix,StringMergeSort,0.387848,87944
700,CommonPrefix,StringQuickSort,0.0474282,17207
700,CommonPrefix,MSD,0.346518,22566
700,CommonPrefix,MSD_QS,0.251404,23161
800,Random,MergeSort,0.434517,17367
800,Random,QuickSort,0.0812966,12003
800,Random,StringMergeSort,0.465462,8783
800,Random,StringQuickSort,0.0558532,7894
800,Random,MSD,0.143624,3396
800,Random,MSD_QS,0.055521,4277
800,Reverse,MergeSort,0.381775,18429
800,Reverse,QuickSort,0.73686,335992
800,Reverse,StringMergeSort,0.375842,6143
800,Reverse,StringQuickSort,0.0647322,17357
800,Reverse,MSD,0.179617,3882
